Login;Email;Email1;Email2;Email3;Email4;Email5;Firstname;Lastname;Title;Street;City;Zip;Country;Phone;Mobile;Fax;Comment;PrimaryOrganisationID;ValidID;Password;Roles;IsAgent;IsCustomer;DynamicField_Source;OrgNumbers
contact001;contact001@nomail.com;contact001-2ndmail@nomail.com;contact001-3rdmail@nomail.com;contact001-4thmail@nomail.com;contact001-5thmail@nomail.com;contact001-6thmail@nomail.com;Max;Mustermann;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;MAMU;;start123;Customer;;1;CSV file;MAMU
contact002;contact002@nomail.com;contact002-2ndmail@nomail.com;contact002-3rdmail@nomail.com;contact002-4thmail@nomail.com;contact002-5thmail@nomail.com;contact002-6thmail@nomail.com;Albert;Schweitzer;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;AMK;;start123;Customer;;1;CSV file;AMK
contact003;contact003@nomail.com;contact003-2ndmail@nomail.com;contact003-3rdmail@nomail.com;contact003-4thmail@nomail.com;contact003-5thmail@nomail.com;contact003-6thmail@nomail.com;Robert;Koch;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;AMK;;start123;Customer;;1;CSV file;AMK
contact005;contact005@nomail.com;contact005-2ndmail@nomail.com;contact005-3rdmail@nomail.com;contact005-4thmail@nomail.com;contact005-5thmail@nomail.com;contact005-6thmail@nomail.com;Donna;Noble;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact006;contact006@nomail.com;contact006-2ndmail@nomail.com;contact006-3rdmail@nomail.com;contact006-4thmail@nomail.com;contact006-5thmail@nomail.com;;Mickey;Smith;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact007;contact007@nomail.com;contact007-2ndmail@nomail.com;contact007-3rdmail@nomail.com;contact007-4thmail@nomail.com;contact007-5thmail@nomail.com;;Martha;Jones;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact008;contact008@nomail.com;contact008-2ndmail@nomail.com;contact008-3rdmail@nomail.com;contact008-4thmail@nomail.com;contact008-5thmail@nomail.com;;Jack;Harkness;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact009;contact009@nomail.com;contact009-2ndmail@nomail.com;contact009-3rdmail@nomail.com;contact009-4thmail@nomail.com;contact009-5thmail@nomail.com;;Rose;Tyler;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact010;contact010@nomail.com;contact010-2ndmail@nomail.com;contact010-3rdmail@nomail.com;contact010-4thmail@nomail.com;;;Sarah Jane;Smith;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact011;contact011@nomail.com;contact011-2ndmail@nomail.com;contact011-3rdmail@nomail.com;contact011-4thmail@nomail.com;;;Amy;Pond;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact012;contact012@nomail.com;contact012-2ndmail@nomail.com;contact012-3rdmail@nomail.com;contact012-4thmail@nomail.com;;;Rory;Williams;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact013;contact013@nomail.com;contact013-2ndmail@nomail.com;contact013-3rdmail@nomail.com;contact013-4thmail@nomail.com;;;Clara;Oswald;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact014;contact014@nomail.com;contact014-2ndmail@nomail.com;contact014-3rdmail@nomail.com;;;;Adam;Mitchel;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact015;contact015@nomail.com;contact015-2ndmail@nomail.com;contact015-3rdmail@nomail.com;;;;Bill;Potts;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact016;contact016@nomail.com;contact016-2ndmail@nomail.com;contact016-3rdmail@nomail.com;;;;Ryan;Sinclair;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact017;contact017@nomail.com;contact017-2ndmail@nomail.com;contact017-3rdmail@nomail.com;;;;Yasmin;Khan;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact018;contact018@nomail.com;contact018-2ndmail@nomail.com;;;;;Graham;Brien;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;TWD;;start123;Customer;;1;CSV file;TWD
contact019;contact019@nomail.com;contact019-2ndmail@nomail.com;;;;;Stefanie;Kühnel;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact020;contact020@nomail.com;contact020-2ndmail@nomail.com;;;;;Dörte;Hundt;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact021;contact021@nomail.com;contact021-2ndmail@nomail.com;;;;;Clara;Clemencik;Frau;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact022;contact022@nomail.com;contact022-2ndmail@nomail.com;;;;;Detlef;Wutzke;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact023;contact023@nomail.com;contact023-2ndmail@nomail.com;;;;;Andre;Taler;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact024;contact024@nomail.com;contact024-2ndmail@nomail.com;;;;;Max;Jäger;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact025;contact025@nomail.com;contact025-2ndmail@nomail.com;;;;;Mihailo;Kaplaravec;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact026;contact026@nomail.com;contact026-2ndmail@nomail.com;;;;;Mike;Schwarzkopf;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact027;contact027@nomail.com;contact027-2ndmail@nomail.com;;;;;Thomas;Lehmann;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
contact028;contact028@nomail.com;contact028-2ndmail@nomail.com;;;;;Steffen;Hebel;Herr;Schönherrstr. 8;Chemnitz;09113;Germany;+49 123 45 67 8;+49 170 111 222 333;;;KIXSSW;;start123;Agent User,Customer,Ticket Agent;1;1;CSV file;KIXSSW
